project_name,url,project_id,sdtc,mcpc,mcve,star_number,commit_count,files,lines,pull_requests,github_repo_creation,earliest_commit,most_recent_commit,committer_count,author_count,domainant_domain,dominant_domain_committer_commits,dominant_domain_author_commits,dominant_domain_committers,dominant_domain_authors,cik,fg500,sec10k,sec20f,owner_login,company_name,owner_company,license,names,TypeScript,JavaScript,CSS,Inno Setup,HTML,Shell,Batchfile,SCSS,PowerShell,Groovy,C++,Python,Makefile,Perl,Ruby,Objective-C++,Objective-C,Clojure,Handlebars,Less,PHP,Julia,Visual Basic .NET,C,Pug,Go,F#,Java,CoffeeScript,Rust,C#,Dockerfile,R,Roff,ShaderLab,Swift,Lua,HLSL,Hack,CMake,LLVM,Emacs Lisp,Vim script,DTrace,D,sed,Kotlin,Smarty,Mustache,Vim Snippet,Vue,NASL,Cuda,Assembly,Starlark,PureBasic,Metal,GLSL,Yacc,Standard ML,Scala,HiveQL,PLpgSQL,q,ANTLR,Jupyter Notebook,Thrift,ReScript,XSLT,OCaml,Liquid,HCL,SWIG,MATLAB,Awk,Rich Text Format,PostScript,VBScript,ActionScript,DIGITAL Command Language,Prolog,FreeMarker,Gherkin,Sass,NSIS,EJS,GDB,Puppet,SMT,AL,M4,OpenEdge ABL,GAP,Brainfuck,Erlang,Haml,TSQL,Stylus,2020-03-22,2020-03-29,2020-04-05,2020-04-12,2020-04-19,2020-04-26,2020-05-03,2020-05-10,2020-05-17,2020-05-24,2020-05-31,2020-06-07,2020-06-14,2020-06-21,2020-06-28,2020-07-05,2020-07-12,2020-07-19,2020-07-26,2020-08-02,2020-08-09,2020-08-16,2020-08-23,2020-08-30,2020-09-06,2020-09-13,2020-09-20,2020-09-27,2020-10-04,2020-10-11,2020-10-18,2020-10-25,2020-11-01,2020-11-08,2020-11-15,2020-11-22,2020-11-29,2020-12-06,2020-12-13,2020-12-20,2020-12-27,2021-01-03,2021-01-10,2021-01-17,2021-01-24,2021-01-31,2021-02-07,2021-02-14,2021-02-21,2021-02-28,2021-03-07,2021-03-14
NativeScript,https://github.com/NativeScript/NativeScript,16922941,t,f,f,17870,9679,3058.0,1896977.0,2295,2015-03-01 09:47:08,2014-03-12 15:26:58,2019-05-31 16:16:33,126,182,telerik.com,2242,2664,11,78,,,,,NativeScript,,,Apache-2.0,"['nativescript', 'android', 'ios', 'angular', 'vue', 'flexbox', 'css', 'typescript', 'javascript', 'cross-platform']",3888280.0,306579.0,38802.0,,1307.0,13115.0,198.0,65.0,,,,,162.0,,289.0,,30811.0,,,,,,,,,,,538036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,4,2,1,0,1,0,0,0,10,4,9,2,3,7,0,7,0,2,2,1,10,5,16,2,15,10,6,3,3,5,1,14,3,0,0,0,4,0,13,4,4,8,19,14,3,3,8,3,0,0
istio,https://github.com/istio/istio,51981313,t,f,f,17683,21090,4412.0,793105.0,9038,2016-11-18 23:57:21,2016-11-19 00:40:18,2019-05-31 22:36:28,331,481,google.com,4465,6401,45,159,1652044.0,f,t,f,istio,Alphabet Inc.,,Apache-2.0,"['microservices', 'service-mesh', 'lyft-envoy', 'kubernetes', 'api-management', 'circuit-breaker', 'polyglot-microservices', 'enforce-policies', 'proxies', 'microservice', 'envoy', 'consul', 'nomad', 'request-routing', 'resiliency', 'fault-injection']",,,,,,129241.0,,,,,,11895.0,78607.0,,317.0,,,,,,,,,,,9830751.0,,,,,,1212.0,,,,,,,,,,,,,,,,5836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,72,68,65,90,78,68,56,50,55,86,52,59,91,42,99,93,104,59,87,85,72,63,81,63,66,58,65,54,66,74,71,69,88,67,38,52,51,46,17,25,63,75,72,63,42,40,49,63,75,61,18
terraform,https://github.com/hashicorp/terraform,11065419,f,t,t,17540,42410,6593.0,1620634.0,8696,2014-03-13 22:25:48,2014-05-21 21:28:53,2019-05-31 21:20:52,1061,1583,hashicorp.com,4581,4796,9,9,,,,,hashicorp,,,MPL-2.0,"['graph', 'infrastructure-as-code', 'terraform', 'cloud', 'cloud-management']",,,,,50798.0,9528.0,,,,,,,1839.0,,,,,,,,,,,,,7856573.0,,,,,,805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,47,68,49,34,44,21,46,37,31,33,41,43,44,48,26,22,19,24,10,13,41,26,32,53,50,31,82,75,62,59,59,57,25,23,52,17,83,37,24,1,1,23,59,20,16,18,34,41,35,4,17,4
nightmare,https://github.com/segmentio/nightmare,9039695,f,t,t,17401,1084,53.0,10853.0,373,2014-04-05 22:19:51,2014-04-06 02:16:38,2019-04-27 06:40:39,111,135,segment.com,0,0,0,0,,,,,segmentio,,,,"['electron', 'headless-chrome', 'browser', 'phantomjs', 'chrome']",,146799.0,42.0,,,2211.0,,,,,,,712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNTK,https://github.com/Microsoft/CNTK,31340100,t,t,t,17334,28417,3091.0,8400915.0,505,2015-11-26 09:52:06,2015-07-16 18:35:35,2019-05-31 20:35:26,266,318,microsoft.com,13304,13496,86,122,789019.0,t,t,f,Microsoft,MICROSOFT CORPORATION,,NOASSERTION,"['cognitive-toolkit', 'cntk', 'deep-learning', 'machine-learning', 'deep-neural-networks', 'neural-network', 'distributed', 'python', 'c-plus-plus', 'c-sharp', 'java']",,,,,2164.0,176846.0,43142.0,,131647.0,,10911422.0,2396698.0,84671.0,12728.0,,,,,,,,,,57663.0,,,,12743.0,,,201374.0,21103.0,,,,,,,,35987.0,,,,,,,,,,,,,762435.0,,,,,,,,,,,,,4765537.0,,,,,,,167469.0,2932.0,675.0,,,,,,,,,,,,,,,,,,,,,,,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metasploit-framework,https://github.com/rapid7/metasploit-framework,853,t,t,t,17172,52470,10237.0,1920151.0,8695,2011-08-30 06:13:20,1970-01-02 00:00:00,2019-05-31 20:18:02,895,1018,rapid7.com,22981,22256,40,123,1560327.0,f,t,f,rapid7,"RAPID7, INC.",,NOASSERTION,['hacktoberfest'],,54636.0,5308.0,,60892.0,11561.0,2094.0,,1015664.0,,5602.0,190789.0,2630.0,,34564286.0,,6387.0,,,,1960.0,,,577447.0,,16286.0,,10451.0,,,,4175.0,,,,,,,,,,,,,,,,,,,,,,34413.0,,,,,,,,,,,,,,,,,,,,,,30225.0,5010.0,2362.0,636.0,68.0,,,,,,,,,,,,,,,,,,,109,76,83,134,99,118,95,76,78,67,45,107,107,81,59,90,44,90,61,64,136,88,70,65,45,85,69,63,85,37,49,67,58,65,70,59,72,109,54,27,14,74,38,58,59,38,34,31,36,31,29,10
minio,https://github.com/minio/minio,19860558,t,f,f,16670,8924,,,3819,2015-01-14 19:23:58,2015-04-30 21:29:03,2019-05-31 16:23:55,106,200,minio.io,5507,5217,10,121,,,,,Minio,,,Apache-2.0,"['go', 'storage', 'cloud', 's3', 'objectstorage', 'cloudstorage', 'amazon-s3', 'cloudnative']",,318886.0,3476.0,,4512.0,134421.0,,,,,,34593.0,4943.0,,29045.0,,,,,52306.0,36177.0,,,,,7438017.0,,44093.0,,,,1296.0,,,,,,,,,,,,,,,,,,,,,,6392.0,,,,,,,,,,,,,27990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,20,31,35,25,33,31,33,37,39,19,27,31,20,25,33,35,33,17,30,26,30,34,30,29,34,36,28,17,26,15,29,33,27,29,23,28,36,27,20,17,29,22,29,27,38,38,24,28,38,31,8
fresco,https://github.com/facebook/fresco,18004957,t,f,f,16361,2506,2623.0,1176253.0,332,2015-03-02 09:58:04,2015-03-24 02:28:31,2019-05-31 18:37:08,130,322,fb.com,678,1177,22,70,,,,,facebook,,,MIT,[],,,,,,1518.0,,,,,226283.0,10170.0,10754.0,,,,,,,,,,,53155.0,,,,3844595.0,,,,,,,,,,,,,,,,,,,8108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,,,,,,,,,,,,,,,,,,10,11,6,5,4,27,16,10,5,6,9,16,25,7,5,5,5,4,11,7,8,4,10,7,21,1,2,2,7,42,5,11,4,6,5,1,8,5,21,3,0,6,8,8,5,9,10,9,6,4,4,1
draft-js,https://github.com/facebook/draft-js,32547590,t,f,f,16355,1518,491.0,136018.0,754,2016-02-19 20:18:26,2016-02-22 17:47:16,2019-05-29 04:24:29,138,267,fb.com,182,190,19,58,,,,,facebook,,,NOASSERTION,[],,885683.0,10480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,3,3,6,5,3,3,7,1,3,1,0,0,1,3,3,6,13,2,1,4,3,4,1,2,7,3,7,11,9,0,3,7,0,0,2,3,2,0,0,3,0,0,1,0,2,3,0,2,3,2
p3c,https://github.com/alibaba/p3c,74766411,t,f,f,16239,236,362.0,28727.0,72,2017-06-23 06:15:51,2017-09-15 05:33:12,2019-04-02 08:53:10,25,35,alibaba-inc.com,61,63,6,6,,,,,alibaba,,,Apache-2.0,[],,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,297382.0,,,,,,,,,,,,,,,,,,,322607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0,,,,,,,,,,,,,,,,,0,0,0,0,4,1,1,1,0,1,0,0,0,1,0,0,0,1,0,4,0,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
consul,https://github.com/hashicorp/consul,9238699,f,t,t,16155,17839,7087.0,2126884.0,2710,2013-11-04 22:15:27,2013-11-04 21:15:27,2019-05-29 14:41:58,432,586,hashicorp.com,1713,2091,8,43,,,,,hashicorp,,,MPL-2.0,[],,1187933.0,24045.0,,1205.0,264991.0,,328722.0,,,,,18932.0,,,,,,348477.0,,,,,,,10335231.0,,,,,,1394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52920.0,,,,,,,,,,,168456.0,,,,,,,,,,,,,,,,34,55,43,70,40,63,75,106,41,24,48,49,62,43,34,55,32,47,48,27,50,26,29,41,44,54,35,60,131,58,65,51,82,77,66,21,49,42,50,23,2,49,28,36,48,35,30,25,23,5,18,1
calculator,https://github.com/Microsoft/calculator,128227145,f,t,t,15845,430,722.0,288361.0,198,2019-01-28 17:55:49,2019-01-29 03:14:15,2019-05-31 19:55:06,37,61,microsoft.com,68,59,3,16,789019.0,t,t,f,Microsoft,MICROSOFT CORPORATION,,MIT,"['uwp', 'windows', 'windows-10', 'xaml', 'cpp', 'csharp']",,,,,,1286.0,,,6830.0,,2420315.0,,,,,,,,,,,,,11391.0,,,,,,,227049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,9,4,5,3,12,6,6,5,12,1,5,2,2,1,4,4,2,2,6,1,1,5,0,5,3,1,0,0,1,6,5,3,0,1,2,1,2,0,0,2,4,3,1,7,0,0,0,2,2,0
source-code-pro,https://github.com/adobe-fonts/source-code-pro,11227723,t,f,f,15736,328,101.0,323.0,23,2012-08-09 23:14:02,2012-08-09 23:14:03,2019-04-23 18:57:49,18,25,adobe.com,281,280,4,11,796343.0,f,t,f,adobe-fonts,ADOBE INC.,,OFL-1.1,"['opentype-fonts', 'otf', 'afdko', 'ttf-fonts', 'fonts', 'variable-fonts']",,,6457.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
monaco-editor,https://github.com/Microsoft/monaco-editor,38841108,t,t,t,15638,506,327.0,265657.0,91,2016-06-07 16:56:31,2016-06-16 08:42:50,2019-05-05 23:48:44,40,63,microsoft.com,314,409,5,5,789019.0,t,t,f,Microsoft,MICROSOFT CORPORATION,,MIT,"['monaco-editor', 'vscode', 'editor', 'browser', 'typescript']",31361.0,3043971.0,18248.0,,346360.0,2930.0,,4748.0,,,,,,,,,,,39196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31254.0,,,,,,,,,,,,,,,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,10,8,12,3,1,0,0,0,0,0,0,0,1,2,0,1,8,0,0,3,6,4,0,3,0,4,2,0
mint-ui,https://github.com/ElemeFE/mint-ui,38186611,f,f,t,15257,604,240.0,19324.0,333,2016-05-17 09:54:10,2016-06-03 05:50:22,2018-09-26 08:50:24,27,54,ele.me,0,0,0,0,,,,,ElemeFE,,,MIT,"['vue', 'vue-components', 'component', 'ui-kit', 'mobile']",,61614.0,54657.0,,,483.0,,,,,,,763.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.0,,,204851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blueprint,https://github.com/palantir/blueprint,50519944,t,f,f,14891,9436,1862.0,133529.0,1672,2016-10-25 21:17:50,2016-10-25 21:25:13,2019-05-30 19:15:06,133,239,palantir.com,4216,4462,43,169,,,,,palantir,,,Apache-2.0,"['react', 'components', 'typescript', 'lerna', 'design', 'system', 'ui', 'toolkit', 'table', 'sass', 'blueprint', 'octo-correct-managed']",3417817.0,71266.0,,,11816.0,15210.0,,339887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,6,4,16,7,2,3,21,6,3,5,3,2,2,5,5,4,8,4,6,1,2,2,8,0,16,10,3,5,9,2,0,11,3,0,0,4,1,0,0,4,4,12,5,2,2,3,4,8,9,0
npm,https://github.com/npm/npm,7212135,f,t,t,14858,12613,2.0,91.0,1750,2009-09-29 17:21:24,2011-01-05 22:32:31,2018-07-12 22:40:00,178,562,npmjs.com,181,135,3,17,,,,,npm,,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
odoo,https://github.com/odoo/odoo,9706049,t,f,f,14670,159821,24218.0,13644625.0,21321,2014-05-13 15:38:58,2006-12-07 12:41:40,2019-05-31 15:53:31,1105,1595,odoo.com,70836,72626,189,1065,,,,,odoo,,,NOASSERTION,"['odoo', 'python', 'business', 'management', 'odoo-apps', 'erp', 'apps']",,19953467.0,281514.0,,101281.0,39306.0,9611.0,992354.0,,,,19288924.0,12998.0,,220.0,,,,,9647.0,,,,,,,,,,,,,,,,,,,,,,,406.0,,,,,,,,,,,,,,,,,,,,,,,,,,11489.0,,,,,,,,,,,,,,,11855.0,18093.0,,,,,,,,,,,,,,148,168,122,93,130,119,140,114,128,158,101,141,145,133,131,111,151,92,156,161,141,183,98,101,110,137,129,92,135,121,108,106,97,44,113,105,103,82,72,27,35,51,82,64,70,61,66,50,65,77,37,13
python-fire,https://github.com/google/python-fire,57807606,t,f,f,14623,227,76.0,12142.0,66,2017-02-21 21:35:07,2017-02-15 21:22:36,2019-05-24 17:08:53,16,35,google.com,41,20,3,6,1652044.0,f,t,f,google,Alphabet Inc.,,NOASSERTION,"['python', 'cli']",,,,,,1445.0,,,,,,375707.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0,0,0,0,0,0,5,0,0,0,0,11,1,0,0,0,0,0,0,0
minikube,https://github.com/kubernetes/minikube,35115715,t,f,f,14546,4779,861.0,80416.0,1957,2016-04-15 22:38:35,2016-04-15 22:38:35,2019-05-31 23:49:13,247,375,google.com,1047,1741,12,36,1652044.0,f,t,f,kubernetes,Alphabet Inc.,,Apache-2.0,"['minikube', 'kubernetes', 'cluster', 'containers', 'go', 'cncf']",,1871.0,1698.0,,13274.0,119714.0,,4885.0,13893.0,,262.0,631.0,62026.0,,,,,,,,,,,156.0,,2343342.0,,,,,,13396.0,,,,,1597.0,,,,,,,,,,,,,,,2749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8081.0,,,,,,,,,,,,,,190,149,231,185,164,74,83,87,75,111,70,71,44,81,43,77,60,104,63,42,84,71,19,78,14,34,31,65,60,50,72,56,41,73,66,30,63,79,54,20,16,40,62,110,99,56,80,130,99,95,48,23
apollo,https://github.com/ApolloAuto/apollo,68768874,t,f,f,14393,11897,8508.0,1604000.0,6731,2017-07-04 19:03:31,2017-07-04 19:04:34,2019-05-31 23:46:29,142,277,baidu.com,582,737,28,79,1329099.0,f,f,t,ApolloAuto,"Baidu, Inc.",,Apache-2.0,"['apollo', 'autonomous-vehicles', 'autonomous-driving', 'autonomy', 'self-driving-car']",,424966.0,,,9768.0,776220.0,791.0,52149.0,,,19362988.0,1178198.0,6626.0,,,,1913.0,,991.0,,,,,25319.0,,,,,,,,7169.0,,,,,,,,3600.0,,,,,,,,33183.0,,,,,229101.0,1922.0,991490.0,,,7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,22,8,43,28,29,70,70,61,35,80,113,96,122,110,86,82,72,90,79,70,72,85,85,91,94,44,13,12,23,21,21,31,34,15,10,24,24,27,10,9,12,8,15,35,34,16,5,15,11,14,7
MS-DOS,https://github.com/Microsoft/MS-DOS,111498758,f,t,t,14222,126,215.0,70377.0,364,2018-06-25 18:26:02,1983-08-13 00:53:34,2019-02-27 07:35:37,22,60,microsoft.com,0,0,0,0,789019.0,t,t,f,Microsoft,MICROSOFT CORPORATION,,NOASSERTION,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trix,https://github.com/basecamp/trix,27586452,f,t,f,14109,927,225.0,23563.0,136,2013-08-01 22:21:30,2015-09-21 14:10:00,2019-05-17 19:07:28,28,28,basecamp.com,3,4,1,1,,,,,basecamp,,,MIT,"['rich-text-editor', 'wysiwyg-editor', 'wysiwyg', 'javascript', 'coffeescript', 'custom-elements']",,3249.0,,,3057.0,2506.0,,11594.0,,,,,,,7808.0,,,,,,,,,,,,,,439944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,1,0,1,2,7,0,1,0,0,0,4,0,4,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
webpack-dashboard,https://github.com/FormidableLabs/webpack-dashboard,43508115,f,t,t,13879,311,63.0,7859.0,86,2016-08-14 17:44:33,2016-08-14 18:44:52,2019-05-15 21:35:13,19,43,formidable.com,131,144,5,9,,,,,FormidableLabs,,,MIT,"['webpack', 'dashboard', 'devtools', 'dx', 'cli', 'webpack-dashboard', 'cli-dashboard', 'socket-communication']",,53105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,0,0,0,0,0,0,0
code-server,https://github.com/codercom/code-server,127973363,f,t,f,13850,692,,,146,2019-02-27 16:50:41,2019-01-08 00:46:19,2019-04-27 00:50:31,23,51,coder.com,174,177,2,10,,,,,codercom,,,MIT,"['vscode', 'vscode-remote', 'ide', 'remote-work', 'development-environment', 'dev-tools', 'browser-ide']",32765193.0,1205901.0,513848.0,277637.0,183230.0,79555.0,9022.0,6732.0,6519.0,3928.0,3251.0,2405.0,2308.0,1922.0,1703.0,1387.0,1387.0,1206.0,1064.0,1029.0,998.0,,893.0,818.0,654.0,652.0,634.0,599.0,590.0,532.0,488.0,4881.0,362.0,351.0,330.0,284.0,252.0,184.0,16.0,,,,,,,,,,1885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,20,4,5,4,18,13,36,51,20,21,4,2,8,1,3,3,18,12,16,2,3,26,19,12,10,0,5,37,25,7,28,52,29,36,16,27,27,53,2,0,8,18,22,18,31,70,10,53,26,28,18
